Date,HomeTeam,AwayTeam,FTHG,FTAG
17-Jan-16,Newcastle Jets,Wellington Phoenix,3,1
22-Jan-16,Brisbane Roar,Adelaide Utd,1,4
23-Jan-16,Central Coast Mariners,Western Sydney,1,2
24-Jan-16,Newcastle Jets,Perth Glory,1,6
25-Jan-16,Melbourne City,Wellington Phoenix,3,1
26-Jan-16,Melbourne Victory,Sydney FC,1,0
29-Jan-16,Western Sydney,Melbourne City,4,3
30-Jan-16,Perth Glory,Melbourne Victory,3,2
30-Jan-16,Sydney FC,Brisbane Roar,1,3
30-Jan-16,Wellington Phoenix,Central Coast Mariners,1,3
31-Jan-16,Adelaide Utd,Newcastle Jets,1,0
5-Feb-16,Adelaide Utd,Sydney FC,2,2
6-Feb-16,Melbourne Victory,Western Sydney,1,1
6-Feb-16,Brisbane Roar,Central Coast Mariners,4,0
7-Feb-16,Newcastle Jets,Melbourne City,2,1
7-Feb-16,Wellington Phoenix,Perth Glory,0,1
12-Feb-16,Brisbane Roar,Newcastle Jets,2,2
13-Feb-16,Melbourne City,Melbourne Victory,2,2
13-Feb-16,Sydney FC,Perth Glory,1,2
14-Feb-16,Central Coast Mariners,Adelaide Utd,2,3
14-Feb-16,Western Sydney,Wellington Phoenix,2,5
19-Feb-16,Melbourne Victory,Adelaide Utd,0,1
20-Feb-16,Perth Glory,Brisbane Roar,6,3
20-Feb-16,Sydney FC,Western Sydney,1,1
20-Feb-16,Newcastle Jets,Wellington Phoenix,3,2
21-Feb-16,Melbourne City,Central Coast Mariners,4,1
26-Feb-16,Western Sydney,Perth Glory,2,1
26-Feb-16,Wellington Phoenix,Melbourne City,2,1
27-Feb-16,Melbourne Victory,Sydney FC,1,1
27-Feb-16,Adelaide Utd,Brisbane Roar,3,0
28-Feb-16,Central Coast Mariners,Newcastle Jets,0,1
4-Mar-16,Brisbane Roar,Western Sydney,3,2
5-Mar-16,Melbourne City,Sydney FC,3,0
5-Mar-16,Wellington Phoenix,Adelaide Utd,0,4
6-Mar-16,Central Coast Mariners,Melbourne Victory,0,2
7-Mar-16,Perth Glory,Newcastle Jets,2,0
11-Mar-16,Adelaide Utd,Melbourne City,0,1
12-Mar-16,Perth Glory,Central Coast Mariners,4,0
12-Mar-16,Brisbane Roar,Melbourne Victory,5,0
12-Mar-16,Sydney FC,Wellington Phoenix,1,3
13-Mar-16,Newcastle Jets,Western Sydney,0,1
18-Mar-16,Melbourne City,Brisbane Roar,3,1
19-Mar-16,Western Sydney,Adelaide Utd,0,0
19-Mar-16,Central Coast Mariners,Sydney FC,2,2
20-Mar-16,Melbourne Victory,Newcastle Jets,1,1
20-Mar-16,Wellington Phoenix,Perth Glory,1,2
25-Mar-16,Melbourne Victory,Western Sydney,2,0
26-Mar-16,Brisbane Roar,Sydney FC,3,2
26-Mar-16,Newcastle Jets,Perth Glory,1,2
27-Mar-16,Adelaide Utd,Central Coast Mariners,4,2
28-Mar-16,Melbourne City,Wellington Phoenix,3,0
1-Apr-16,Western Sydney,Central Coast Mariners,4,1
2-Apr-16,Sydney FC,Adelaide Utd,0,2
